,train,val,test
2460239-B2,True,False,False
2460242-B2,True,False,False
2460405-B2,True,False,False
2460628-B2,True,False,False
2460641-B2,True,False,False
2460643-B,True,False,False
2460770-B2,True,False,False
2460960-B,True,False,False
2460974-B2,True,False,False
2461487-B2,True,False,False
2461671-B2,True,False,False
2461672-B2,True,False,False
2461677-B2,True,False,False
2461700-B2,True,False,False
2461703-B3,True,False,False
2461861-B2,True,False,False
2462290-B2,True,False,False
2462478-B2,True,False,False
2462483-B,True,False,False
2462598-B,True,False,False
2462637-B2,True,False,False
2462830-B4,True,False,False
2462885-B2,True,False,False
2462987-B2,True,False,False
2463127-B3,True,False,False
2463135-B,True,False,False
2463187-B2,True,False,False
2463370-B2,True,False,False
2463379-B4,True,False,False
2463404-B2,True,False,False
2463643-B,True,False,False
2463647-B2,True,False,False
2463656-B2,True,False,False
2463720-B7,True,False,False
2464438-B5,True,False,False
2464443-B,True,False,False
2464548-B,True,False,False
2464812-B3,True,False,False
2464929-B,True,False,False
2465202-B3,True,False,False
2465243-B2,True,False,False
2465263-B2,True,False,False
2465396-B2,True,False,False
2465397-B,True,False,False
2465568-B2,True,False,False
2465608-B2,True,False,False
2465625-B,True,False,False
2465636-B,True,False,False
2465661-B2,True,False,False
2465843-B2,True,False,False
2465989-B2,True,False,False
2466264-B2,True,False,False
2466580-B5,True,False,False
2466581-B1,True,False,False
2466866-B,True,False,False
2466884-B2,True,False,False
2466891-B2,True,False,False
2466899-B2,True,False,False
2466923-B2,True,False,False
2468325-B,True,False,False
2468673-B2,True,False,False
2468698-B2,True,False,False
2468796-B3,True,False,False
2469004-B2,True,False,False
2469005-B2,True,False,False
2469007-B2,True,False,False
2469023-B2,True,False,False
2469024-B,True,False,False
2469029-B2,True,False,False
2469033-B2,True,False,False
2469047-B2,True,False,False
2469074-B2,True,False,False
2469230-B,True,False,False
2469256-B2,True,False,False
2469496-B,True,False,False
2469505-B2,True,False,False
2469569-B2,True,False,False
2469693-B,True,False,False
2469849-B2,True,False,False
2469927-B2,True,False,False
2469963-B2,True,False,False
2469969-B2,True,False,False
2470260-B,True,False,False
2470270-B2,True,False,False
2470657-B3,True,False,False
2471072-B2,True,False,False
2471237-B2,True,False,False
2471442-B3,True,False,False
2471452-B2,True,False,False
2471595-B3,True,False,False
2471618-B3,True,False,False
2471884-B2,True,False,False
2471885-B2,True,False,False
2471921-B2,True,False,False
2471957-B,True,False,False
2471959-B2,True,False,False
2471963-B,True,False,False
2472316-B7,True,False,False
2472453-B2,True,False,False
2472465-B2,True,False,False
2472471-B2,True,False,False
2473212-B4,True,False,False
2473218-B3,True,False,False
2473266-B,True,False,False
2473272-B3,True,False,False
2473366-B2,True,False,False
2473394-B2,True,False,False
2473534-B2,True,False,False
2473549-B,True,False,False
2473600-B3,True,False,False
2473608-B2,True,False,False
2473621-B3,True,False,False
2473738-B3,True,False,False
2474124-B2,True,False,False
2474140-B3,True,False,False
2474150-B3,True,False,False
2474189-B7,True,False,False
2474291-B2,True,False,False
2474337-B3,True,False,False
2474638-B3,True,False,False
2474718-B4,True,False,False
2474739-B2,True,False,False
2475011-B2,True,False,False
2475022-B,True,False,False
2475126-B2,True,False,False
2475159-B,True,False,False
2475349-B2,True,False,False
2476250-B2,True,False,False
2476252-B2,True,False,False
2476295-B3,True,False,False
2476391-B2,True,False,False
2476681-B2,True,False,False
2476856-B2,True,False,False
2477039-B,True,False,False
2477053-B3,True,False,False
2477189-B2,True,False,False
2477189-B3,True,False,False
2477285-B2,True,False,False
2477299-B2,True,False,False
2477473-B2,True,False,False
2477541-B2,True,False,False
2477668-B3,True,False,False
2477809-B3,True,False,False
2477941-B2,True,False,False
2477949-B2,True,False,False
2477977-B3,True,False,False
2478091-B4,True,False,False
2481703-B2,True,False,False
2481723-B2,True,False,False
2482055-B2,True,False,False
2482056-B4,True,False,False
2482461-B2,True,False,False
2482607-B,True,False,False
2482886-B2,True,False,False
2482896-B2,True,False,False
2482957-B2,True,False,False
2482962-B2,True,False,False
2482964-B2,True,False,False
2482969-B,True,False,False
2483014-B4,True,False,False
2483211-B2,True,False,False
2483215-B5,True,False,False
2483215-B6,True,False,False
2483220-B1,True,False,False
2483768-B4,True,False,False
2483846-B,True,False,False
2483868-B4,True,False,False
2483961-B3,True,False,False
2483973-B1,True,False,False
2483993-B2,True,False,False
2484004-B2,True,False,False
2484727-B2,True,False,False
2484734-B4,True,False,False
2484771-B3,True,False,False
2484791-B3,True,False,False
2485259-B6,True,False,False
2485275-B2,True,False,False
2485318-B2,True,False,False
2485322-B2,True,False,False
2485328-B2,True,False,False
2485517-B2,True,False,False
2485805-B,True,False,False
2485969-B2,True,False,False
2486100-B,True,False,False
2486104-B1,True,False,False
2486104-B2,True,False,False
2486165-B2,True,False,False
2486191-B,True,False,False
2486262-B4,True,False,False
2486653-B3,True,False,False
2486687-B3,True,False,False
2486833-B2,True,False,False
2486859-B2,True,False,False
2487140-B2,True,False,False
2487146-B2,True,False,False
2487237-B2,True,False,False
2487274-B2,True,False,False
2487376-B2,True,False,False
2487558-B2,True,False,False
2487656-B4,True,False,False
2487935-B2,True,False,False
2488039-B2,True,False,False
2488044-B3,True,False,False
2488050-B3,True,False,False
2488065-B3,True,False,False
2488330-B2,True,False,False
2488344-B2,True,False,False
2488369-B2,True,False,False
2488475-B2,True,False,False
2488767-B,True,False,False
2488769-B2,True,False,False
2488932-B4,True,False,False
2489131-B3,True,False,False
2489137-B4,True,False,False
2489182-B2,True,False,False
2489203-B,True,False,False
2489331-B2,True,False,False
25012175B4,True,False,False
25012253B3,True,False,False
25012628B2,True,False,False
25012785B2,True,False,False
25012915B2,True,False,False
25012919B9,True,False,False
25013023B2,True,False,False
25013062B3,True,False,False
25013162B2,True,False,False
25013189B3,True,False,False
25013352B2,True,False,False
25013871B6,True,False,False
25013878B2,True,False,False
25014124B2,True,False,False
25014217B2,True,False,False
25014217B3,True,False,False
25014265B2,True,False,False
25014268B,True,False,False
25014311B2,True,False,False
25014318B,True,False,False
25014684B,True,False,False
25015070B2,True,False,False
25015087B2,True,False,False
25015101B2,True,False,False
25015190B2,True,False,False
25015204B2,True,False,False
25015408B3,True,False,False
25015422B,True,False,False
25015425B2,True,False,False
25015488B2,True,False,False
25015495B3,True,False,False
25015607B2,True,False,False
25015622B2,True,False,False
25015625B2,True,False,False
25015811B3,True,False,False
25015820B,True,False,False
25015870B3,True,False,False
25016772B2,True,False,False
25016915B2,True,False,False
25017211B2,True,False,False
25017227B2,True,False,False
25017320B2,True,False,False
25017322B2,True,False,False
25017338B3,True,False,False
25017341B4,True,False,False
25017355B1,True,False,False
25017372B2,True,False,False
25017383B2,True,False,False
25017539B2,True,False,False
25017589B6,True,False,False
25017711B,True,False,False
25017738B2,True,False,False
25017748B2,True,False,False
25017767B2,True,False,False
25017948B3,True,False,False
25018002B2,True,False,False
25018050B2,True,False,False
25018453B2,True,False,False
25018457B2,True,False,False
25018571B2,True,False,False
25018910B2,True,False,False
25019081B3,True,False,False
25019283B2,True,False,False
25019284B2,True,False,False
25019352B2,True,False,False
25019384B2,True,False,False
25019457B2,True,False,False
25019508B4,True,False,False
25019621B2,True,False,False
25019716B2,True,False,False
25019776B2,True,False,False
25020257B2,True,False,False
25020282B2,True,False,False
25020573B3,True,False,False
25020714B2,True,False,False
25021120B4,True,False,False
25021164B2,True,False,False
25021171B2,True,False,False
25021260B2,True,False,False
25021291B2,True,False,False
25021419B1,True,False,False
25021474B,True,False,False
25021481B2,True,False,False
25021538B2,True,False,False
25021554B2,True,False,False
25021622B4,True,False,False
25021640B3,True,False,False
25021662B2,True,False,False
25021667B2,True,False,False
25021668B2,True,False,False
25021894B3,True,False,False
25021918B4,True,False,False
25022019B2,True,False,False
25022262B2,True,False,False
25022278B2,True,False,False
25022330B2,True,False,False
25022406B2,True,False,False
25023016B6,True,False,False
25023184B2,True,False,False
25023687B2,True,False,False
25023690B3,True,False,False
25023930B2,True,False,False
25023934B2,True,False,False
25023936B2,True,False,False
25023977B2,True,False,False
25024310B3,True,False,False
25024431B,True,False,False
25024688B2,True,False,False
25024709B2,True,False,False
25024732B2,True,False,False
25024855B3,True,False,False
25024983B2,True,False,False
25025083B2,True,False,False
25025240B,True,False,False
25025251B,True,False,False
25025297B,True,False,False
25025506B,True,False,False
25025510B1,True,False,False
25025510B3,True,False,False
25025575B2,True,False,False
25025602B2,True,False,False
25025675B2,True,False,False
25025960B2,True,False,False
25026103B3,True,False,False
25026180B2,True,False,False
25026740B2,True,False,False
25026798B2,True,False,False
25027122B2,True,False,False
25027135B3,True,False,False
25027167B2,True,False,False
25027290B2,True,False,False
25012148B3,True,False,False
25017073B2,True,False,False
2490547B2,True,False,False
2490750B4,True,False,False
2490820B2,True,False,False
2490820B3,True,False,False
2490860B2,True,False,False
2490963B2,True,False,False
2490964B2,True,False,False
2490972B8,True,False,False
2490978B2,True,False,False
2491560B2,True,False,False
25001929B3,True,False,False
25001965B2,True,False,False
25002073B3,True,False,False
25002238B,True,False,False
25002328B2,True,False,False
25002472B2,True,False,False
25002504B2,True,False,False
25002663B5,True,False,False
25002788B2,True,False,False
25002789B2,True,False,False
25002897B2,True,False,False
25002898B2,True,False,False
25002906B2,True,False,False
25002907B3,True,False,False
25003038B2,True,False,False
25009124B2,True,False,False
25009148B4,True,False,False
25009297B,True,False,False
25009539B3,True,False,False
25009578B4,True,False,False
25009747B,True,False,False
25009756B2,True,False,False
25015064B,True,False,False
2463367-B2,True,False,False
2476299-B2,True,False,False
2476693-B3,True,False,False
2477926-B4,True,False,False
2482111-B2,True,False,False
2482883-B2,True,False,False
2483073-B3,True,False,False
2483850-B2,True,False,False
